,train loss,train_acc,test_loss,test_acc
0,6.141510329,0.382608682,7.676891977,0.381720424
1,7.1098471,0.4173913,7.004289743,0.478494614
2,7.043274765,0.426086962,6.497410145,0.516129017
3,7.040978844,0.37391305,8.201983204,0.39784947
4,6.827427656,0.508928597,6.509474566,0.553763449
5,6.103573576,0.504347801,6.429147402,0.559139788
6,7.240021691,0.400000006,6.423847672,0.553763449
7,5.935691893,0.539130449,6.365564571,0.564516127
8,6.466352801,0.526785731,6.168264272,0.564516127
9,7.502461143,0.443478256,6.700428349,0.494623661
10,3.258859044,0.547826111,3.267663994,0.553763449
11,2.880589919,0.565217376,2.677663285,0.666666687
12,2.765211137,0.608695626,4.154346834,0.516129017
13,1.966124785,0.571428597,3.175040116,0.629032254
14,1.780694155,0.521739125,3.19342945,0.602150559
15,2.10000504,0.617391288,2.059964421,0.704301059
16,1.510254352,0.652173936,1.594046002,0.80107528
17,1.070690487,0.739130437,2.669349836,0.677419364
18,1.217957706,0.714285731,2.180891606,0.715053737
19,1.196431583,0.705357134,2.127289209,0.736559153
20,1.385582216,0.747826099,3.092805978,0.645161271
21,0.804813085,0.826086938,1.366858402,0.784946263
22,0.953895888,0.773913026,2.240519852,0.682795703
23,1.19203636,0.730434775,2.574945696,0.677419364
24,0.786995429,0.782608688,1.527333495,0.779569864
25,0.741386515,0.808695674,2.938304559,0.655913949
26,0.86653943,0.782608688,2.363463558,0.69892472
27,0.960297622,0.79130435,2.613747746,0.672043025
28,0.948556196,0.741071403,2.198008379,0.731182814
29,0.831666259,0.852173924,3.098540786,0.639784932
30,0.430758955,0.852173924,1.589905883,0.768817186
31,0.60931702,0.817391276,2.362401971,0.741935492
32,1.037699101,0.732142866,2.219563361,0.752688169
33,0.932963776,0.79130435,1.588910944,0.795698941
34,1.136038532,0.765217364,2.134773852,0.731182814
35,0.722911728,0.839285731,2.827100429,0.655913949
36,0.352447935,0.904347837,2.110061617,0.758064508
37,0.511799086,0.843478262,2.954439381,0.672043025
38,0.829894787,0.782608688,2.17991687,0.741935492
39,0.492818636,0.886956513,1.309150003,0.827956975
40,0.998516111,0.808695674,3.314779264,0.69892472
41,1.65464673,0.739130437,3.405919509,0.65053761
42,0.380077556,0.875,1.656122481,0.779569864
43,0.659453995,0.8347826,3.448305333,0.65053761
44,0.742859355,0.8347826,1.971344598,0.747311831
45,0.648835278,0.826086938,3.504386882,0.655913949
46,0.940695738,0.8125,3.07097254,0.704301059
47,0.634500457,0.860869586,2.403214383,0.747311831
48,0.513409034,0.860869586,2.225520258,0.752688169
49,0.614729301,0.826086938,3.130962971,0.655913949
50,0.483333298,0.878260851,1.646285572,0.822580636
51,0.648105844,0.848214269,2.143165721,0.747311831
52,0.519787609,0.878260851,1.675082368,0.822580636
53,0.832993106,0.843478262,4.643729511,0.537634432
54,0.684142808,0.860869586,2.375020732,0.709677398
55,0.33960181,0.921739101,3.173682483,0.677419364
56,0.443969169,0.866071403,3.189847082,0.645161271
57,0.482649142,0.886956513,2.943313033,0.693548381
58,0.370232596,0.921739101,2.933343823,0.720430136
59,0.76657645,0.808695674,2.592138745,0.709677398
60,0.630333644,0.852173924,2.584703943,0.715053737
61,0.405800605,0.886956513,2.675539011,0.709677398
62,0.410179133,0.892857134,2.522657401,0.731182814
63,0.33386263,0.921739101,2.430072264,0.731182814
64,0.27568034,0.921739101,2.568921642,0.725806475
65,0.340003629,0.921739101,2.12980157,0.779569864
66,0.391925831,0.913043499,2.357728996,0.779569864
67,0.484915515,0.910714269,2.982850953,0.688172042
68,0.71579534,0.843478262,2.73266698,0.715053737
69,0.119500526,0.956521749,1.98397139,0.774193525
