,train loss,train_acc,test_loss,test_acc
0,11.3202762,0.252173901,9.358894152,0.419354826
1,10.23148667,0.365217388,9.358894152,0.419354826
2,9.210340129,0.428571433,9.358894152,0.419354826
3,9.390542486,0.4173913,9.358894152,0.419354826
4,9.530699813,0.408695638,9.358894152,0.419354826
5,9.924058085,0.382608682,9.358894152,0.419354826
6,10.3476257,0.357142866,9.358894152,0.419354826
7,7.392325548,0.460869551,6.876073794,0.241935477
8,9.087079784,0.400000006,6.730030639,0.419354826
9,7.139858681,0.521739125,8.536630158,0.236559138
10,8.178817044,0.478260875,6.870970272,0.241935477
11,6.070817052,0.600000024,10.56134153,0.236559138
12,7.745583163,0.464285702,9.348173776,0.419354826
13,7.508683526,0.513043463,9.34183168,0.419354826
14,7.51190849,0.521739125,9.353447349,0.419354826
15,6.911697726,0.508928597,10.07333734,0.344086021
16,8.349115048,0.434782594,7.101268987,0.263440847
17,6.225012878,0.547826111,2.96632567,0.295698911
18,5.160467514,0.652173936,4.556262742,0.344086021
19,5.44045406,0.5826087,8.080418904,0.344086021
20,4.584075458,0.660869539,2.080428098,0.365591407
21,4.162349292,0.695652187,6.543886514,0.236559138
22,4.901343334,0.642857134,6.754405526,0.424731195
23,4.56529686,0.695652187,3.041804322,0.424731195
24,4.70056187,0.652173936,3.263146773,0.247311831
25,3.624401339,0.732142866,7.344763189,0.252688169
26,3.603875556,0.713043451,3.279618866,0.430107534
27,3.517725136,0.765217364,3.659983057,0.430107534
28,4.10844211,0.704347849,3.766666535,0.424731195
29,3.076899888,0.782608688,4.302387788,0.424731195
30,2.863449674,0.800000012,1.728048902,0.333333343
31,3.483762025,0.75,6.26573448,0.424731195
32,1.902062068,0.826086938,8.677905883,0.419354826
33,3.610809483,0.747826099,8.638814375,0.419354826
34,2.468237376,0.8347826,6.593881736,0.295698911
35,3.041156608,0.800000012,6.868739002,0.424731195
36,3.330392975,0.75,4.531732728,0.424731195
37,1.819648077,0.869565189,7.281443737,0.419354826
38,3.045925634,0.782608688,5.183520612,0.236559138
39,1.777322091,0.860869586,4.725163923,0.424731195
40,3.709170829,0.739130437,5.724076412,0.419354826
41,2.16899661,0.826086938,5.718543538,0.424731195
42,2.297610459,0.843478262,6.042038815,0.413978487
43,2.662644472,0.794642866,10.19262835,0.236559138
44,2.708834855,0.817391276,7.701718473,0.247311831
45,1.757688473,0.883928597,5.996165923,0.430107534
46,1.114239522,0.921739101,7.898114901,0.419354826
47,2.189614013,0.843478262,8.49402532,0.419354826
48,2.535097476,0.826086938,5.679333049,0.419354826
49,2.534738111,0.826086938,6.381042429,0.408602148
50,1.006845463,0.921739101,6.696478919,0.430107534
51,2.548377349,0.826086938,9.31859064,0.419354826
52,2.845402659,0.800000012,9.324319233,0.419354826
53,2.58988237,0.8125,6.134269622,0.419354826
54,1.82643778,0.869565189,6.447239787,0.327956975
55,2.175208079,0.843478262,6.005789317,0.467741936
56,1.761307055,0.875,6.278235066,0.365591407
57,1.253581012,0.904347837,9.618722004,0.236559138
58,1.177969137,0.921739101,10.40407497,0.236559138
59,1.973196362,0.860869586,12.30041027,0.236559138
60,1.509749581,0.895652175,12.12330345,0.236559138
61,1.764956312,0.869565189,6.862714789,0.419354826
62,2.531152744,0.839285731,6.541694533,0.419354826
63,3.230950362,0.79130435,5.349788722,0.419354826
64,1.464877686,0.904347837,6.659729822,0.306451619
65,2.117478066,0.866071403,9.318604754,0.236559138
66,1.026057462,0.930434763,8.489138747,0.236559138
67,1.364476965,0.904347837,7.804865749,0.236559138
68,1.139070392,0.913043499,12.16040471,0.236559138
69,2.103267662,0.860869586,6.694072213,0.236559138
