,train loss,train_acc,test_loss,test_acc
0,3.936315174,0.434782594,2.424241643,0.645161271
1,3.407864214,0.486956507,1.949067173,0.709677398
2,3.337997317,0.521739125,2.924073332,0.618279576
3,3.167280439,0.600000024,4.988116072,0.489247322
4,2.917961188,0.616071403,2.293051117,0.682795703
5,2.371643269,0.713043451,3.226489877,0.612903237
6,2.521262751,0.608695626,1.971693492,0.779569864
7,1.863869361,0.713043451,3.632638587,0.645161271
8,2.416352854,0.678571403,1.556983194,0.790322602
9,1.535155911,0.730434775,2.59516907,0.69892472
10,1.453842236,0.741071403,5.055379709,0.543010771
11,2.042780737,0.669565201,2.030596527,0.736559153
12,1.701390757,0.695652187,1.480838772,0.779569864
13,1.427819386,0.713043451,4.045114847,0.618279576
14,1.31635537,0.776785731,2.840094998,0.677419364
15,1.991574575,0.704347849,5.634286534,0.532258093
16,1.1639463,0.826086938,3.95958545,0.586021483
17,1.74483335,0.713043451,1.554795878,0.763440847
18,1.055784978,0.817391276,4.947853463,0.559139788
19,0.912573656,0.852173924,3.041290692,0.655913949
20,1.004083928,0.782608688,3.771091819,0.602150559
21,1.560816288,0.695652187,2.336304514,0.736559153
22,1.130054449,0.826086938,3.741417003,0.639784932
23,1.323242103,0.794642866,2.288105979,0.731182814
24,1.049296279,0.830357134,2.350087784,0.709677398
25,0.927202721,0.826086938,2.915924457,0.688172042
26,1.116077523,0.808695674,1.951179108,0.763440847
27,1.257732247,0.756521761,2.225072091,0.69892472
28,0.919727607,0.8347826,3.131858876,0.634408593
29,0.553458641,0.878260851,3.676827088,0.634408593
30,1.037819249,0.821428597,3.786235231,0.618279576
31,0.87447711,0.852173924,3.149644735,0.645161271
32,0.839581605,0.869565189,3.809899978,0.59677422
33,0.710482787,0.852173924,2.010342954,0.763440847
34,0.707135362,0.904347837,4.503576149,0.591397822
35,0.849098385,0.843478262,4.320426619,0.623655915
36,0.640159895,0.892857134,3.575697823,0.645161271
37,0.87748798,0.869565189,2.047440419,0.747311831
38,1.178027404,0.817391276,3.140389741,0.661290348
39,0.937078158,0.817391276,3.39998166,0.661290348
40,0.615813578,0.878260851,3.882290873,0.634408593
41,0.557270985,0.843478262,3.242136357,0.672043025
42,1.082538145,0.808695674,3.328115681,0.693548381
43,0.821832772,0.875,1.759261267,0.795698941
44,0.993707205,0.830357134,3.555249265,0.634408593
45,0.72001996,0.895652175,3.497128484,0.612903237
46,0.417832107,0.886956513,2.753977663,0.741935492
47,1.297428737,0.826086938,3.54071146,0.629032254
48,0.589459774,0.895652175,3.968428168,0.629032254
49,1.246735756,0.821428597,3.88911821,0.618279576
50,0.781521869,0.886956513,3.033955765,0.69892472
51,0.99422608,0.848214269,4.416754789,0.59677422
52,0.762923658,0.913043499,2.753444509,0.69892472
53,0.664687664,0.904347837,2.383454414,0.747311831
54,0.92996472,0.860869586,4.448118598,0.602150559
55,0.834278859,0.843478262,3.181991113,0.677419364
56,1.175574351,0.852173924,3.62905104,0.666666687
57,0.74679282,0.852173924,3.512390598,0.688172042
58,1.232788578,0.860869586,3.928448259,0.655913949
59,0.450529275,0.910714269,2.306323344,0.768817186
60,1.200145873,0.794642866,3.43061603,0.672043025
61,0.760763527,0.860869586,2.171035629,0.784946263
62,0.768997099,0.895652175,4.058186119,0.655913949
63,0.833656255,0.869565189,3.203957457,0.677419364
64,0.940273638,0.860869586,4.488025747,0.564516127
65,1.215024573,0.817391276,1.952617351,0.774193525
66,1.018061361,0.800000012,3.643164507,0.661290348
67,1.406742569,0.852173924,3.058693277,0.720430136
68,1.341138428,0.869565189,4.7184527,0.59677422
69,1.024904135,0.821428597,1.966713967,0.790322602
